Name,WeightClassKg,BodyweightKg,Sex,Division,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Country
Dunay Yaroslav,110,106.2,M,M-O -WPC,,,,,,210,-220,-220,,210,,,,,,210,6,SBD,Raw,UKR
Chistyakov Igor,110,107.8,M,M-O -WPC,,,,,,200,-205,-205,,200,,,,,,200,7,SBD,Raw,RUS
Ignatyev Mikhail,110,107,M,M-O -WPC,,,,,,-202.5,,,,,,,,,,,DQ,SBD,Raw,RUS
Matasov Yevgeny,110,107.4,M,M-O -WPC,,,,,,-270,-270,,,,,,,,,,DQ,SBD,Raw,RUS
Orlov Nikolai,110,108.5,M,M-O -WPC,,,,,,-220,-220,-220,,,,,,,,,DQ,SBD,Raw,RUS
Tretyakov Alexander,110,106.8,M,M-M -WPC,,,,,,215,225,232.5,-240,232.5,,,,,,232.5,1,SBD,Raw,RUS
Luchkov Andrei,110,109.8,M,M-M -WPC,,,,,,222.5,232.5,,,232.5,,,,,,232.5,2,SBD,Raw,RUS
Rakhmanov Vyacheslav,110,107.3,M,M-M -WPC,,,,,,-210,-210,-210,,,,,,,,,DQ,SBD,Raw,RUS
Samoylov Andrei,110,108.2,M,M-M -WPC,,,,,,205,215,220,,220,,,,,,220,1,SBD,Raw,RUS
Petrenko Pavel,110,107.5,M,M-M -WPC,,,,,,180,190,,,190,,,,,,190,2,SBD,Raw,RUS
Tityayev Pavel,110,110,M,M-M -WPC,,,,,,180,-190,,,180,,,,,,180,3,SBD,Raw,RUS
Akhmetov Ruslan,110,106.4,M,M-M -WPC,,,,,,120,160,,,160,,,,,,160,1,SBD,Raw,RUS
Bobrov Konstantin,110,109,M,M-M -WPC,,,,,,200,210,-215,,210,,,,,,210,1,SBD,Raw,RUS
Pozdnyakov Viktor,110,106.3,M,M-M -WPC,,,,,,180,190,,,190,,,,,,190,2,SBD,Raw,RUS
Gusev Vladimir,110,106.8,M,M-M -WPC,,,,,,175,-182.5,-182.5,,175,,,,,,175,3,SBD,Raw,RUS
Pokhvashchev Yuri,110,109,M,M-M -WPC,,,,,,180,190,-195,,190,,,,,,190,1,SBD,Raw,RUS
Savelyev Valentin,110,102.65,M,M-M -WPC,,,,,,-120,,,,,,,,,,,DQ,SBD,Raw,RUS
Krymskiy Dmitry,125,111.2,M,M-T -WPC,,,,,,170,-180,180,-185,180,,,,,,180,1,SBD,Raw,RUS
Meszaros Laszlo,125,125,M,M-O -WPC,,,,,,270,285,300,,300,,,,,,300,1,SBD,Raw,HUN
Kushnarev Oleg,125,112,M,M-O -WPC,,,,,,240,250,260,,260,,,,,,260,2,SBD,Raw,RUS
Zheltenko Yevgeniy,125,114,M,M-O -WPC,,,,,,-245,245,-250,,245,,,,,,245,3,SBD,Raw,RUS
Velibekov Bakhtiyar,125,118.1,M,M-O -WPC,,,,,,230,245,-250,,245,,,,,,245,4,SBD,Raw,RUS
Molchanov Sergei,125,124.6,M,M-O -WPC,,,,,,-230,230,240,,240,,,,,,240,5,SBD,Raw,RUS
Korolev Fedor,125,122,M,M-O -WPC,,,,,,220,230,237.5,,237.5,,,,,,237.5,6,SBD,Raw,RUS
Bubnov Dmitry,125,114.5,M,M-O -WPC,,,,,,210,-222.5,222.5,,222.5,,,,,,222.5,7,SBD,Raw,RUS
Surkov Vladimir,125,113.5,M,M-O -WPC,,,,,,210,-220,,,210,,,,,,210,8,SBD,Raw,RUS
Manyukov Vladislav,125,120,M,M-O -WPC,,,,,,195,205,-212.5,,205,,,,,,205,9,SBD,Raw,RUS
Dolinyan Artem,125,123,M,M-O -WPC,,,,,,-230,-230,,,,,,,,,,DQ,SBD,Raw,RUS
Prikhodko Vyacheslav,125,122.6,M,M-M -WPC,,,,,,215,-222.5,222.5,,222.5,,,,,,222.5,1,SBD,Raw,RUS
Chernykh Lev,125,121,M,M-M -WPC,,,,,,190,200,-215,,200,,,,,,200,2,SBD,Raw,RUS
Gimbarov Andriy,125,110.2,M,M-M -WPC,,,,,,150,160,170,,170,,,,,,170,3,SBD,Raw,UKR
Khapayev Oleg,125,116.4,M,M-M -WPC,,,,,,200,-205,215,,215,,,,,,215,1,SBD,Raw,RUS
Kozlov Viktor,125,120,M,M-M -WPC,,,,,,215,-220,-220,,215,,,,,,215,2,SBD,Raw,RUS
Podelko Igor,125,113.2,M,M-M -WPC,,,,,,155,162.5,167.5,,167.5,,,,,,167.5,3,SBD,Raw,RUS
Toropov Mikhail,125,112.9,M,M-M -WPC,,,,,,-142.5,155,-162.5,,155,,,,,,155,4,SBD,Raw,RUS
Kuzmin Nikita,140,127.8,M,M-J -WPC,,,,,,192.5,197.5,200,,200,,,,,,200,1,SBD,Raw,RUS
Maximov Vladimir,140,131,M,M-O -WPC,,,,,,275,-282.5,-282.5,,275,,,,,,275,1,SBD,Raw,RUS
Matsur Vasily,140,138,M,M-O -WPC,,,,,,240,250,255,,255,,,,,,255,2,SBD,Raw,RUS
Gryn' Andriy,140,128,M,M-O -WPC,,,,,,235,-240,-245,,235,,,,,,235,3,SBD,Raw,UKR
Brusov Andrei,140,134.7,M,M-O -WPC,,,,,,225,232.5,-237.5,,232.5,,,,,,232.5,4,SBD,Raw,RUS
Maximov Vladimir,140,131,M,M-M -WPC,,,,,,275,-282.5,-282.5,,275,,,,,,275,1,SBD,Raw,RUS
Gryn' Andriy,140,128.6,M,M-M -WPC,,,,,,235,240,245,,245,,,,,,245,2,SBD,Raw,UKR
Kovalevskiy Alexander,140,129.3,M,M-M -WPC,,,,,,190,200,-210,,200,,,,,,200,1,SBD,Raw,RUS
Sarychev Kirill,140+,150.2,M,M-J -WPC,,,,,,250,270,280,-300,280,,,,,,280,1,SBD,Raw,RUS
Lisogor Olexiy,140+,150,M,M-J -WPC,,,,,,210,220,230,,230,,,,,,230,2,SBD,Raw,UKR
Grad Vladimir,140+,146,M,M-O -WPC,,,,,,255,262.5,270,,270,,,,,,270,1,SBD,Raw,RUS
Polyakov Roman,140+,150,M,M-O -WPC,,,,,,225,235,250,,250,,,,,,250,2,SBD,Raw,RUS
Mammadov Israfil,140+,143.25,M,M-O -WPC,,,,,,200,215,-222.5,,215,,,,,,215,3,SBD,Raw,AZE
Korkin Vadim,140+,163.75,M,M-O -WPC,,,,,,-210,215,-222.5,,215,,,,,,215,4,SBD,Raw,RUS
Golubev Kostyantyn,140+,141.3,M,M-M -WPC,,,,,,185,192.5,-200,,192.5,,,,,,192.5,1,SBD,Raw,UKR
