Name,State,Sex,Event,Age,Division,BodyweightLBS,WeightClassLBS,Squat1Kg,SquatKg,Squat3Kg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,TotalKg,,,,,
Maddie Campbell,,F,SBD,,Youth,94.8,97,30,35,42.5,,16,20,27.5,,70,40,47.5,52.5,,57.5,122.5,270.1,148.52,,
Mallory Triplet,,F,SBD,,Teen 16-17,140.1,148,70,75,80,,37.5,-45,45,,125,92.5,10,102.5,,110,227.5,501.5,174.77,,
Ashely Bergman,,F,SBD,,Open,140,148,75,-83,-82.5,,52.5,57.5,-60,,133,102.5,115,-125,,247.5,545.6,190.13,,,
Jess Campbell,,F,SBD,,Open,147.1,148,108,-115,-115,,70,75,-82.5,,183,137.5,142.5,147.5,,150,330,727.5,242.19,,
Quinn Lindsay,,M,SBD,,Teen 12-13,214,220,-72.5,85,,95,52.5,60,,65,160,100,112.5,,125,137.5,285,628.3,160.08,,
CJ Lindsay,,M,SBD,,Teen 12-13,157.2,165,72.5,80,,90,57.5,67.5,,75,-80.5,165,100,,115,132.5,140,297.5,655.9,206.17,
Shane Sheets,,M,SBD,,Masters 50-54,175,181,80,90,92.5,,87.5,95,-103,,188,130,147.5,-162.5,,335,738.5,213.23,,,
Clayton Moore,,M,SBD,,Teen 16-17,220.5,220,130,148,160,,130,148,160,,320,142.5,170,182.5,,502.5,1108,278.64,,,
Tim Blatt,,M,SBD,,Masters 50-54,192.6,198,165,-175,-175,,165,-175,-175,,330,167.5,177.5,187.5,,517.5,1141,304.19,,,
Benjamin Ramos,,M,SBD,,Teen 18-19,201.52,220,165,175,-185,,-125,128,-143,,303,165,175,192.5,,200,495,1091,287.55,,
Garrett Angell,,M,SBD,,Juniors 20-24,343.7,SHW,183,109,195,133,,138,-140,333,,217.5,-225,-225,550,,1213,268.07,,,
Tristan Tilberg,,M,SBD,,Open,272.58,275,185,198,210,,143,-155,-155,,353,227.5,237.5,-245,,590,1301,308.69,,,
Anthony Montanez,,M,SBD,,Juniors 20-24,286,308,230,245,-260,,-165,-173,-173,,80,265,-277.5,-280,,345,760.6,177.81,,,
Brian Rezac,,M,SBD,,Submasters 35-39,286.4,275,-210,210,-215,,165,-170,-170,,375,207.5,210,215,,-217.5,590,1301,304.09,,
Aaron Erickson,,M,SBD,,Open,256,275,235,-245,,260,143,160,,165,-183,425,235,,252.5,265,690,1521,365.98,,
Aaron Erickson,,M,SBD,,Teen 18-19,256,275,235,-245,,260,143,160,,165,-183,425,235,,252.5,265,690,1521,365.98,,
Celeste Lindsay,,F,BD,,Youth,66.5,77,9,12,-17,,12,30,32.5,,40,42.5,52,114.6,,66.58,,,,,
Carissa Lindsay,,F,BD,,Youth,94.4,97,11,16,-23,,16,32.5,37.5,,45,52.5,61,134.5,,73.96,,,,,
Lindsay Lindsay,,F,BD,,Open,174.8,181,45,52.5,55,,-60,55,100,,110,112.5,-120,167.5,,369.3,107.07,,,,
Maya Gentry,,F,BD,,Youth,29.7,66,7,-15,18,,18,25,32.5,,37.5,40,55.5,122.4,,71.06,,,,,
Coy Trainor,,M,BD,,Teen 14-15,189.3,198,75,82.5,-90,,82.5,142.5,160,,170,-182.5,252.5,556.7,,152.41,,,,,
Missy Gentry,,F,B,,Open,176,181,95,-103,-103,,95,95,209.4,,60.22,,,,,,,,,,
Missy Gentry,,F,B,,Submasters 35-39,176,181,95,-103,-103,,95,95,209.4,,60.22,,,,,,,,,,
Marvin Rodenbeck,,M,B,,Masters 50-54,285.6,308,208,220,-228,,220,220,485,,113.48,,,,,,,,,,
Greg Srock,,M,B,,Open,250,275,123,-125,-125,,123,122.5,270.1,,65.27,,,,,,,,,,
Greg Srock,,M,B,,Law/Fire/Military,250,275,123,-125,-125,,123,122.5,270.1,,65.27,,,,,,,,,,
